1717761769,688254851,,DC1,DC2,DC3,DC4,DC5,DC6,-1.708984375,-1.708984375,-0.049957275390625,0.65576171875,0.65576171875,-0.810546875,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1507568359375,0.045654296875,0.0296783447265625,0.04339599609375,6.453125,0.1072998046875
1717761769,738241283,,DC1,DC2,DC3,DC4,DC5,DC6,-1.9052734375,-1.9052734375,-0.2646484375,0.78662109375,0.78662109375,-0.77880859375,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1416015625,0.0296783447265625,0.041107177734375,0.038818359375,6.4765625,0.10504150390625
1717761769,788663417,,DC1,DC2,DC3,DC4,DC5,DC6,-2.265625,-2.265625,-0.57568359375,0.7548828125,0.7548828125,-0.771484375,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1392822265625,0.031951904296875,0.0296783447265625,0.036529541015625,6.4375,0.10504150390625
1717761769,838217357,,DC1,DC2,DC3,DC4,DC5,DC6,-1.7216796875,-1.7216796875,-0.041168212890625,0.87939453125,0.87939453125,-0.61962890625,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1324462890625,0.047943115234375,0.047943115234375,0.04339599609375,6.47265625,0.10504150390625
1717761769,888209313,,DC1,DC2,DC3,DC4,DC5,DC6,-2.65234375,-2.65234375,-0.56005859375,0.734375,0.734375,-0.68603515625,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1552734375,0.04339599609375,0.036529541015625,0.04339599609375,6.46484375,0.1004638671875
1717761769,938158779,,DC1,DC2,DC3,DC4,DC5,DC6,-2.083984375,-2.083984375,0.177490234375,0.7822265625,0.7822265625,-0.82958984375,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.136962890625,0.045654296875,0.031951904296875,0.041107177734375,6.48046875,0.1141357421875
1717761769,988208183,,DC1,DC2,DC3,DC4,DC5,DC6,-2.052734375,-2.052734375,-0.277587890625,0.65771484375,0.65771484375,-0.8212890625,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.136962890625,0.052520751953125,0.004566192626953125,0.038818359375,6.484375,0.10504150390625
1717761770,38279135,,DC1,DC2,DC3,DC4,DC5,DC6,-1.89453125,-1.89453125,-0.1329345703125,0.92236328125,0.92236328125,-0.64697265625,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.136962890625,0.03424072265625,0.036529541015625,0.031951904296875,6.44921875,0.109619140625
1717761770,88256916,,DC1,DC2,DC3,DC4,DC5,DC6,-1.634765625,-1.634765625,-0.344970703125,0.7275390625,0.7275390625,-0.8369140625,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1392822265625,0.036529541015625,0.03424072265625,0.038818359375,6.47265625,0.10272216796875
1717761770,138135797,,DC1,DC2,DC3,DC4,DC5,DC6,-1.927734375,-1.927734375,-0.255126953125,0.76806640625,0.76806640625,-0.76171875,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1484375,0.03424072265625,0.03424072265625,0.038818359375,6.48046875,0.10272216796875
1717761770,188146822,,DC1,DC2,DC3,DC4,DC5,DC6,-2.130859375,-2.130859375,-0.2529296875,0.62939453125,0.62939453125,-0.81640625,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.136962890625,0.04339599609375,0.03424072265625,0.041107177734375,6.47265625,0.10504150390625
1717761770,238211365,,DC1,DC2,DC3,DC4,DC5,DC6,-1.98828125,-1.98828125,-0.08892822265625,0.440185546875,0.440185546875,-0.970703125,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1392822265625,0.047943115234375,0.031951904296875,0.03424072265625,6.4375,0.10504150390625
1717761770,288200033,,DC1,DC2,DC3,DC4,DC5,DC6,-1.58984375,-1.58984375,0.1639404296875,0.64013671875,0.64013671875,-0.87255859375,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.134765625,0.031951904296875,0.036529541015625,0.03424072265625,6.46484375,0.1004638671875
1717761770,338114090,,DC1,DC2,DC3,DC4,DC5,DC6,-1.876953125,-1.876953125,-0.088623046875,0.64794921875,0.64794921875,-0.873046875,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1392822265625,0.038818359375,0.041107177734375,0.038818359375,6.48046875,0.10272216796875
1717761770,388055241,,DC1,DC2,DC3,DC4,DC5,DC6,-1.873046875,-1.873046875,0.0189056396484375,0.5380859375,0.5380859375,-0.84130859375,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.123291015625,0.052520751953125,0.0296783447265625,0.03424072265625,6.5,0.10272216796875
1717761770,438147768,,DC1,DC2,DC3,DC4,DC5,DC6,-1.4814453125,-1.4814453125,0.2176513671875,0.68994140625,0.68994140625,-0.75537109375,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1392822265625,0.038818359375,0.045654296875,0.038818359375,6.4765625,0.09820556640625
1717761770,488238988,,DC1,DC2,DC3,DC4,DC5,DC6,-1.9501953125,-1.9501953125,-0.128173828125,0.7041015625,0.7041015625,-0.791015625,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1392822265625,0.041107177734375,0.045654296875,0.038818359375,6.48046875,0.09820556640625
1717761770,538105422,,DC1,DC2,DC3,DC4,DC5,DC6,-1.7431640625,-1.7431640625,-0.03265380859375,0.720703125,0.720703125,-0.83740234375,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.134765625,0.03424072265625,0.041107177734375,0.045654296875,6.48828125,0.1004638671875
